ID,CC1,CC2,CC3,CC4,CC5,Exp1.CC1,Exp1.CC2,Exp1.CC3,X1_Exp1.Test.Jump,X2_Exp1.Test.Jump,X3_Exp1.Test.Jump,X4_Exp1.Test.Jump,X5_Exp1.Test.Jump,X6_Exp1.Test.Jump,X7_Exp1.Test.Jump,X1_Exp1.Test.Fall,X2_Exp1.Test.Fall,X3_Exp1.Test.Fall,X4_Exp1.Test.Fall,X5_Exp1.Test.Fall,X6_Exp1.Test.Fall,X7_Exp1.Test.Fall,Exp2.CC1,Exp2.CC2,Exp2.CC3,X1_Exp2.Test,X2_Exp2.Test,X3_Exp2.Test,X4_Exp2.Test,X5_Exp2.Test,X6_Exp2.Test,X7_Exp2.Test,Exp3.CC1,Exp3.CC2,Exp3.CC3,X1_Exp3.Test,X2_Exp3.Test,X3_Exp3.Test,X4_Exp3.Test,X5_Exp3.Test,Exp4.CC1,Exp4.CC2,Exp4.CC3,X1_Exp4.Test,X2_Exp4.Test,X3_Exp4.Test,X4_Exp4.Test,X5_Exp4.Test,X6_Exp4.Test,X7_Exp4.Test,Age_Months,Age_Years,Sex,Order_Exps,Version,Order_Task1,Order_Task2,Order_Task3,Order_Task4
20,deeper,deeper,deeper,No!,No!,63,51,10,68,72,58,57,48,46,26,70,67,60,51,9,22,13,30,100,51,100,75,77,51,22,12,24,0,71,49,51,43,20,36,22,100,26,51,29,20,34,67,55,64,81,80.96551724,6,Female,3,B,2,3,1,4
21,deeper,deeper,deeper,No!,No!,31,51,100,42,41,67,62,73,64,66,58,43,75,76,83,92,100,37,100,51,29,27,35,50,70,68,72,32,51,100,29,28,38,39,31,100,30,51,75,80,70,43,67,46,64,92.4416018,7,Female,1,A,1,2,3,4
22,deeper,deeper,deeper,No!,No!,31,50,100,0,68,0,33,33,100,92,48,99,70,51,69,100,100,24,97,49,0,0,30,49,71,69,73,29,50,100,23,68,51,88,69,100,26,51,0,49,38,51,65,100,100,93.2602892,7,Female,2,A,3,1,2,4
23,deeper,deeper,deeper,No!,No!,71,51,0,38,51,70,71,100,71,100,30,28,29,0,9,27,0,34,100,51,100,100,100,50,0,0,0,71,51,0,92,51,72,71,70,100,28,51,0,21,36,58,65,83,100,88.2925473,7,Male,2,B,3,1,2,4
24,deeper,deeper,deeper,No!,No!,23,51,100,13,2,61,72,72,73,88,51,24,71,82,85,98,100,31,100,51,75,33,71,32,32,72,71,29,51,100,51,8,19,30,72,100,28,51,100,65,44,27,37,4,0,93.2536151,7,Female,1,A,1,2,3,4
25,deeper,deeper,deeper,No!,No!,39,51,100,28,25,32,10,36,42,18,100,83,86,94,86,100,85,29,100,50,69,30,34,49,69,71,33,29,51,100,69,30,19,23,64,100,21,52,0,21,36,100,100,79,79,80.8774194,6,Female,2,A,3,1,2,4
26,deeper,deeper,deeper,No!,No!,69,51,0,72,67,61,57,44,35,30,100,51,39,42,33,28,0,39,100,51,78,100,64,51,41,36,0,69,50,0,51,52,51,51,50,100,20,51,0,5,21,51,66,81,100,87.4903226,7,Female,2,B,3,1,2,4
27,deeper,deeper,deeper,No!,No!,31,51,100,0,28,100,100,72,100,71,9,29,100,100,100,100,100,32,100,51,0,0,0,52,100,100,100,30,51,100,31,7,70,51,30,100,18,51,20,0,21,51,35,64,51,87.6967742,7,Female,2,A,3,1,2,4
28,deeper,deeper,deeper,No!,No!,71,50,0,100,73,72,84,31,21,32,61,85,42,53,0,0,17,36,100,51,100,100,100,0,0,0,0,71,51,0,0,0,0,0,0,100,25,51,0,0,20,51,51,100,100,80.4666667,6,Male,2,B,3,1,2,4
29,deeper,deeper,deeper,No!,No!,70,50,0,100,51,69,46,50,25,29,71,52,52,26,0,0,0,33,100,51,100,100,100,100,1,100,100,68,51,0,51,50,100,51,46,100,19,51,2,1,2,52,6,23,100,77.2666667,6,Male,1,B,1,2,3,4
30,deeper,deeper,deeper,No!,No!,77,53,6,100,74,53,52,52,60,50,73,51,51,30,54,28,6,34,100,49,100,72,100,51,51,2,0,73,53,0,71,90,73,74,54,99,18,51,97,98,68,52,37,0,0,77.2666667,6,Male,3,B,2,3,1,4
31,deeper,deeper,deeper,No!,No!,73,49,0,100,78,46,45,28,10,30,27,48,40,26,0,0,0,32,100,51,70,69,69,49,33,32,29,75,53,0,28,70,31,100,72,100,26,50,0,80,100,0,0,0,63,76,6,Female,1,B,1,2,3,4
32,deeper,deeper,deeper,No!,No!,74,50,0,62,42,30,24,19,0,0,51,33,8,7,0,0,0,31,100,51,100,77,69,51,35,31,17,70,52,1,40,61,57,61,39,99,27,52,13,0,9,1,66,73,72,89.5,7,Female,3,B,2,3,1,4
33,deeper,deeper,deeper,No!,No!,72,51,0,71,50,71,50,28,29,30,31,51,51,29,28,28,29,33,89,50,90,69,68,51,32,31,32,72,51,8,71,51,72,71,71,100,21,51,0,21,24,51,51,80,100,81.7,6,Female,1,B,1,2,3,4
34,deeper,deeper,deeper,No!,No!,72,51,0,51,45,44,42,34,30,33,30,37,19,0,69,0,0,35,100,50,100,68,68,51,32,20,34,65,50,0,72,71,69,70,100,100,17,50,0,36,23,22,34,36,79,93.9268817,7,Female,1,B,1,2,3,4
35,deeper,deeper,deeper,No!,No!,67,50,0,100,100,49,100,100,61,100,72,66,0,0,0,65,0,35,100,51,100,100,100,0,0,0,0,67,51,0,100,51,100,66,66,100,28,51,0,0,19,23,36,100,100,79.6333333,6,Female,3,B,2,3,1,4
36,deeper,deeper,deeper,No!,No!,31,51,100,21,50,50,65,71,61,82,51,100,100,100,100,100,100,32,100,51,51,0,0,51,51,100,100,30,51,100,35,0,33,13,19,100,28,49,100,51,34,21,36,0,0,84.8967742,7,Female,3,A,2,3,1,4
